Year,Africa,Asia,Europe,North America,Oceania,South America
1960,156640453,1540394483,3961922835,3189112226,100973380,199162531
1961,162078599,1395308133,4106401353,3184349939,103676995,201790400
1962,166426479,1344445545,4333285839,3309376792,107208883,215670147
1963,176448437,1425118416,4607005636,3442290937,114488152,219432748
1964,193763891,1509494689,4836004626,3621031075,124048756,230217258
1965,213784592,1652064447,4978519865,3771440604,136725214,240179708
1966,221261615,1799358286,5149149081,3956276316,136762210,252098415
1967,237257662,1827449007,5262922990,4126962898,145474846,267478130
1968,257600231,2018387350,5508267150,4289367868,151161138,287793723
1969,278139487,2291939814,5808330574,4501679888,159429093,311445861
1970,302942683,2699300836,6090346255,4862418409,165832813,338088977
1971,332205529,2953833259,6312748240,4916075467,172156168,346784136
1972,352242151,3124009857,6541128889,5162109508,177757861,362787962
1973,378426604,3355519482,6833578783,5397122525,194305177,392891071
1974,388872733,3415347407,6851163858,5251285810,196740328,416698590
1975,387838602,3581002878,6889733011,5127968610,199435004,412131333
1976,420868292,3806119266,7264646559,5434560667,198480865,419568227
1977,433857083,4050961252,7320281269,5591028587,213266231,435040931
1978,463281540,4232254059,7552390389,5676990941,224620093,461425681
1979,500008669,4405939806,7732355204,5792359070,226513268,494424507
1980,536509759,4400904783,7735701430,5621038348,243555227,508467198
1981,549389371,4374459208,7453971675,5495519473,252122044,489334209
1982,572603068,4524213069,7394330536,5263629687,257191421,490651123
1983,595441085,4706386594,7400813605,5203537112,247750357,485837506
1984,650285298,4980670654,7451776191,5461843912,260633525,491926527
1985,666683905,5272290607,7775661001,5465180017,268324406,502054215
1986,690699782,5498752809,7788329538,5450086150,268056450,530170080
1987,690794283,5735493718,7812748002,5656466693,285610352,557530046
1988,726048074,6205031052,7846139038,5906086497,291932082,580553727
1989,699220923,6421483079,7813968314,6018100327,308604456,580183777
1990,659294543,6625837983,8015588993,5984512141,310806408,595613577
1991,689025539,6956347159,7714385696,5932717441,314080448,603003964
1992,668677085,7269585454,7078817583,6057230391,320397135,615051115
1993,708858320,7600515327,6791984195,6163882533,325283538,650400713
1994,719622610,7931294332,6433785144,6288259639,334356681,667658230
1995,771994122,8251608613,6415240923,6350638338,342430080,699156081
1996,783254265,8579100358,6464354025,6576288267,352294936,725574209
1997,812903488,8691038455,6258128350,6695065330,365059140,768849399
1998,838022046,8421433438,6232186994,6765937652,375522818,821328788
1999,830397266,8678316711,6147588627,6861781942,384920358,839542549
2000,886561876,9091054959,6149033673,7107691709,391481208,821389541
2001,884168245,9259171838,6275941415,7014631472,402802578,832246397
2002,892574682,9779534328,6241655552,7068126101,410291240,847147909
2003,967219666,10716110297,6387841133,7183859119,419067367,858232426
2004,1036685536,11681500681,6419130511,7282769072,432906800,867759092
2005,1057341604,12522218780,6410329615,7330252917,435363789,902003261
2006,1090194921,13363127459,6509434302,7265229406,444998224,912729584
2007,1132293212,14080908201,6457352334,7376088584,450773068,940748667
2008,1181391104,14811211177,6384572255,7158261808,457879112,1007520350
2009,1191035249,15412299488,5871171361,6670754218,447030377,991952053
2010,1218023292,16530950685,6098534908,6875767079,451057233,1082415226
2011,1258708905,17746631804,6023668149,6771607912,451765877,1103963494
2012,1253144211,18456299828,5972231655,6580282771,450529677,1159699662
2013,1260316387,18714335123,5815574828,6714923529,440882723,1218740221
2014,1363499747,19018801891,5589757324,6753942686,449080653,1230511065
2015,1322735077,19135910319,5594384221,6612704117,453845158,1204961439
2016,1356719492,19218166352,5590252902,6471359556,465567113,1164897792
2017,1384372117,19653512867,5620306625,6412981891,465857483,1156733992
2018,1385644894,20254370026,5593057381,6588629908,467556039,1091450086
2019,1408478929,20608592701,5430238970,6460726238,471015609,1065509648
2020,1326043539,20317058379,4946034489,5775158655,444397224,994160327